capital_available_day_i_start,C_i_minus_1,m_i_arr,p,M_i_arr,growth,C_i,total_orders,total_expenditure,profit,capital_available_day_i_end
15.0,,0.0,0.2,5.0,,1020000.0,242868.96524317854,5.0,14.572137914590712,24.572137914590712
24.572137914590712,1020000.0,6.8439555168151855,0.7964685325148946,3.8690192699432373,1.0011657108946488,1021189.0251125417,243152.08024193457,10.712974548339844,14.589124814516078,28.448287942348365
28.448287942348365,1021189.0251125417,6.642829418182373,0.7881145403424556,3.931375741958618,1.0011314435513707,1022344.4428497358,243427.19309512665,10.57420539855957,14.6056315857076,32.47971436791497
32.47971436791497,1022344.4428497358,6.821197986602783,0.7955400464086317,3.81834077835083,1.0011436225067591,1023513.6189642389,243705.58191190744,10.639538764953613,14.622334914714449,36.46251051767581
36.46251051767581,1023513.6189642389,6.789922714233398,0.7942571300883716,3.8327691555023193,1.001139978053647,1024680.4020274669,243983.4009268383,10.622692108154297,14.639004055610298,40.47882270355039
40.47882270355039,1024680.4020274669,7.405379295349121,0.8180856687943138,4.023255348205566,1.0013516826370183,1026065.4447353805,244313.1890535918,11.428634643554688,14.658791343215508,43.70897940321122
43.70897940321122,1026065.4447353805,6.632229804992676,0.7876648831090024,3.9791574478149414,1.001143328540694,1027238.5746429664,244592.51929550475,10.611387252807617,14.675551157730284,47.77314330813388
47.77314330813388,1027238.5746429664,6.736966609954834,0.7920664815702847,3.8457159996032715,1.0011299923208865,1028399.3463440314,244868.90696405497,10.582682609558105,14.692134417843299,51.882595116419076
51.882595116419076,1028399.3463440314,6.4466776847839355,0.779636999093591,4.020794868469238,1.0011041001916718,1029534.8022594451,245139.26677116848,10.467472076416016,14.708356006270108,56.12347856943601
56.12347856943601,1029534.8022594451,7.019660949707031,0.8034966385602683,3.93257737159729,1.001230733202385,1030801.8849235968,245440.96780599208,10.952238082885742,14.726458068359527,59.897698316491216
59.897698316491216,1030801.8849235968,6.740672588348389,0.7922205438933867,3.6008968353271484,1.0010507044817414,1031884.9530838735,245698.85373086878,10.341569900512695,14.741931223852127,64.29806011666781
64.29806011666781,1031884.9530838735,6.7178239822387695,0.7912688769330707,3.772219181060791,1.0011012728286457,1033021.3399449931,245969.43520251202,10.490043640136719,14.758166112150722,68.56618306551897
68.56618306551897,1033021.3399449931,6.69987678527832,0.7905183029535454,3.855713367462158,1.0011231855280518,1034181.614564188,246245.70451247456,10.55558967590332,14.774742270748476,72.78533518352697
72.78533518352697,1034181.614564188,6.774652004241943,0.7936278016084415,3.9532573223114014,1.001173789235808,1035395.5258112339,246534.74506979523,10.727909088134766,14.792084704187715,76.84951056116134
76.84951056116134,1035395.5258112339,6.757380962371826,0.7929137164431249,4.023534774780273,1.0011907716928374,1036628.4454942604,246828.31166552522,10.780916213989258,14.809698699931515,80.87829352394075
80.87829352394075,1036628.4454942604,6.403346538543701,0.7777189838341064,3.907517194747925,1.0010566573003492,1037723.8065089416,247089.12460297946,10.310863494873047,14.825347476178766,85.39277726682789
85.39277726682789,1037723.8065089416,6.812905788421631,0.795200680586492,3.847320795059204,1.0011506815332416,1038917.8961296966,247373.44549572497,10.660226821899414,14.8424067297435,89.57495741309056
89.57495741309056,1038917.8961296966,6.773897171020508,0.7935966439383508,4.0160369873046875,1.001192884277445,1040157.2049535459,247668.5333895142,10.789934158325195,14.860112003370851,93.64513525813621
93.64513525813621,1040157.2049535459,6.59897518157959,0.786247951509548,3.8116071224212646,1.001081546951056,1041282.1838071822,247936.3985366741,10.410582542419434,14.876183912200446,98.1107368663358
98.1107368663358,1041282.1838071822,6.981624603271484,0.8019960842500998,3.906520366668701,1.0012129863758996,1042545.2449096073,248237.1420101887,10.888145446777344,14.894228520611321,102.11682041700693
102.11682041700693,1042545.2449096073,7.03883171081543,0.8042486198335429,3.963146686553955,1.0012450256799565,1043843.2405120364,248546.2036267104,11.001977920532227,14.912772217602626,106.02761423724017
106.02761423724017,1043843.2405120364,6.944156169891357,0.8005067315431618,3.8614070415496826,1.0011892313253172,1045084.6115923739,248841.78255785196,10.805562973022461,14.930506953471118,110.15255797927026
110.15255797927026,1045084.6115923739,6.537543296813965,0.7836055135133416,4.029938697814941,1.0011326085296746,1046268.2833376951,249123.6228833164,10.567481994628906,14.947417372998984,114.53249335764033
114.53249335764033,1046268.2833376951,6.683575630187988,0.7898342297146451,3.9334895610809326,1.0011432025669915,1047464.3799249685,249408.4216484948,10.6170654296875,14.96450529890969,118.8799334652811
118.8799334652811,1047464.3799249685,6.747611045837402,0.7925086777113813,3.720384120941162,1.0010923698653196,1048608.598448594,249680.86789246055,10.467994689941406,14.980852073547632,123.39279037205017
123.39279037205017,1048608.598448594,7.115131378173828,0.8072130964867971,3.808225393295288,1.0012152109913968,1049882.879143102,249984.28282746498,10.923357009887695,14.9990569696479,127.46849057022895
127.46849057022895,1049882.879143102,6.919926166534424,0.7995376408196218,3.9269673824310303,1.0012036090709988,1051146.527699925,250285.16617788322,10.846893310546875,15.017109970672992,131.6387069919365
131.6387069919365,1051146.527699925,6.696247577667236,0.7903661972440429,3.976287603378296,1.0011598824777492,1052365.7341389512,250575.46755657354,10.672534942626953,15.034528053394414,136.00069986428537
136.00069986428537,1052365.7341389512,6.899190902709961,0.7987045866728829,4.022045612335205,1.001227556393946,1053657.572424663,250883.06307393854,10.921236038208008,15.05298378443631,140.13244713367652
140.13244713367652,1053657.572424663,6.878016471862793,0.797850315918037,3.8497161865234375,1.0011684741197435,1054888.744029113,251176.21344022246,10.72773265838623,15.070572806413349,144.47528728170363
